Time
65
52
28
25
15
48
47
25
17
27
23
16
47
16
20
16
30
36
27
18
23
21
20
25
52
75
33
24
22
37
60
29
26
15
40
50
22
34
16
36
52
50
29
18
50
19
32
39
24
51
30
14
38
53
14
20
62
26
39
20
34
21
65
27
54
70
17
75
36
20
14
70
29
50
25
17
33
47
27
16
71
22
24
30
44
12
27
49
70
16
19
27
30
30
52
32
31
24
28
69
50
15
28
33
27
25
56
39
56
29
29
37
27
23
29
19
34
24
55
24
12
32
12
33
25
51
17
30
18
13
20
21
48
13
30
32
26
57
28
29
37
18
20
31
17
19
41
27
65
18
22
20
46
28
51
19
31
50
22
37
38
33
23
15
25
52
26
30
23
37
42
19
27
17
31
30
15
66
25
27
13
31
37
36
68
17
29
27
41
50
31
39
26
45
29
39
14
46
22
13
52
29
23
17
30
54
33
15
33
23
40
30
28
25
55
27
28
36
17
30
48
20
15
50
13
18
20
37
73
23
15
32
22
53
34
24
57
14
24
34
16
55
31
42
14
23
57
34
33
67
59
43
43
71
38
23
57
43
23
13
70
15
22
60
17
42
24
42
31
24
41
25
52
20
52
60
18
36
26
48
15
24
48
33
22
15
26
25
33
4
74
26
